Aboën;452
Andrézieux-Bouthéon;9963
Caloire;306
Cellieu;1704
Chagnon;496
Chambœuf;1791
Le Chambon-Feugerolles;11948
Châteauneuf;1630
Dargoire;532
Doizieux;835
L'Étrat;2643
Farnay;1379
Firminy;16901
Fontanès;681
La Fouillouse;4666
Fraisses;3733
La Gimond;278
La Grand-Croix;5172
L'Horme;4746
Lorette;4716
Marcenod;695
Pavezin;376
La Ricamarie;7872
Rive-de-Gier;14978
Roche-la-Molière;9884
Rozier-Côtes-d'Aurec;433
Saint-Bonnet-les-Oules;1669
Saint-Chamond;34841
Saint-Christo-en-Jarez;1903
Sainte-Croix-en-Jarez;477
Saint-Étienne;173821
Saint-Galmier;5826
Saint-Genest-Lerpt;6123
Genilac;3894
Saint-Héand;3637
Saint-Jean-Bonnefonds;6615
Saint-Joseph;1928
Saint-Martin-la-Plaine;3815
Saint-Maurice-en-Gourgois;1817
Saint-Nizier-de-Fornas;663
Saint-Paul-en-Cornillon;1357
Saint-Paul-en-Jarez;4817
Saint-Priest-en-Jarez;6106
Saint-Romain-en-Jarez;1218
Sorbiers;7874
La Talaudière;6977
Tartaras;902
La Terrasse-sur-Dorlay;776
La Tour-en-Jarez;1471
Unieux;8418
Valfleury;707
La Valla-en-Gier;1075
Villars;7942
