Acigné;6834
Bécherel;688
Betton;12265
Bourgbarré;4515
Brécé;2059
Bruz;18905
Cesson-Sévigné;17082
Chantepie;10278
La Chapelle-Chaussée;1295
La Chapelle-des-Fougeretz;4682
La Chapelle-Thouarault;2219
Chartres-de-Bretagne;8157
Chavagne;4268
Chevaigné;2325
Cintré;2410
Clayes;908
Corps-Nuds;3434
Gévezé;5521
L'Hermitage;4629
Laillé;5116
Langan;1031
Miniac-sous-Bécherel;792
Montgermont;3515
Mordelles;7338
Nouvoitou;3281
Noyal-Châtillon-sur-Seiche;7003
Orgères;5152
Pacé;11860
Parthenay-de-Bretagne;1780
Rennes;220488
Le Rheu;8932
Romillé;4032
Saint-Armel;2206
Saint-Erblon;3311
Saint-Gilles;5178
Saint-Grégoire;9890
Saint-Jacques-de-la-Lande;13948
Saint-Sulpice-la-Forêt;1382
Thorigné-Fouillard;8575
Le Verger;1436
Vern-sur-Seiche;8169
Vezin-le-Coquet;6114
Pont-Péan;4413
