Aigrefeuille;1272
Aucamville;8968
Aussonne;7209
Balma;16625
Beaupuy;1340
Beauzelle;6973
Blagnac;25525
Brax;2862
Bruguières;5947
Castelginest;10682
Colomiers;39968
Cornebarrieu;7372
Cugnaux;19344
Drémil-Lafage;2649
Fenouillet;5307
Flourens;2056
Fonbeauzard;3011
Gagnac-sur-Garonne;3130
Gratentour;4387
Launaguet;9050
Lespinasse;2828
Mondonville;5166
Mondouzil;224
Mons;1758
Montrabé;4111
Pibrac;8578
Pin-Balma;938
Quint-Fonsegrives;5896
Saint-Alban;6217
Saint-Jean;11017
Saint-Jory;6383
Saint-Orens-de-Gameville;12696
Seilh;3284
Toulouse;493465
Tournefeuille;28117
L'Union;11798
Villeneuve-Tolosane;10050
