Baillargues;7654
Beaulieu;2144
Castelnau-le-Lez;22534
Castries;6294
Clapiers;5411
Cournonsec;3454
Cournonterral;6423
Le Crès;9310
Fabrègues;7293
Grabels;8798
Jacou;6808
Juvignac;11344
Lattes;17453
Lavérune;3328
Montaud;1028
Montferrier-sur-Lez;3960
Montpellier;295542
Murviel-lès-Montpellier;1863
Pérols;9016
Pignan;7959
Prades-le-Lez;5908
Restinclières;2109
Saint-Brès;3209
Saint-Drézéry;2735
Saint-Geniès-des-Mourgues;2017
Saint-Georges-d'Orques;5552
Saint-Jean-de-Védas;11086
Saussan;1616
Sussargues;2802
Vendargues;6423
Villeneuve-lès-Maguelone;10344
