Aspremont;2272
Bairols;109
Beaulieu-sur-Mer;3755
Belvédère;690
La Bollène-Vésubie;566
Bonson;731
Le Broc;1414
Cagnes-sur-Mer;52178
Cap-d'Ail;4523
Carros;12550
Castagniers;1656
Clans;665
Colomars;3482
Duranus;150
Èze;2256
Falicon;1994
Gattières;4173
La Gaude;7010
Gilette;1599
Ilonse;162
Isola;653
Lantosque;1241
Levens;4761
Marie;106
Nice;342669
Rimplas;91
Roquebillière;1833
La Roquette-sur-Var;950
Roubion;120
Roure;119
Saint-André-de-la-Roche;5695
Saint-Blaise;1240
Saint-Dalmas-le-Selvage;108
Saint-Étienne-de-Tinée;1494
Saint-Jean-Cap-Ferrat;1492
Saint-Jeannet;4246
Saint-Laurent-du-Var;29169
Saint-Martin-du-Var;3095
Saint-Martin-Vésubie;1444
Saint-Sauveur-sur-Tinée;306
La Tour;553
Tournefort;155
Tourrette-Levens;5013
La Trinité;10115
Utelle;867
Valdeblore;835
Venanson;161
Vence;18940
Villefranche-sur-Mer;5033
