Bresson;671
Brié-et-Angonnes;2545
Champagnier;1200
Champ-sur-Drac;3172
Claix;7924
Corenc;4075
Domène;6677
Échirolles;36932
Eybens;9980
Fontaine;23211
Fontanil-Cornillon;3172
Gières;7134
Grenoble;158198
Le Gua;1796
Herbeys;1362
Jarrie;3779
Meylan;17786
Miribel-Lanchâtre;456
Montchaboud;337
Mont-Saint-Martin;76
Murianette;862
Notre-Dame-de-Commiers;536
Notre-Dame-de-Mésage;1131
Noyarey;2256
Poisat;2127
Le Pont-de-Claix;10716
Proveysieux;513
Quaix-en-Chartreuse;897
Saint-Barthélemy-de-Séchilienne;430
Saint-Égrève;15944
Saint-Georges-de-Commiers;2537
Saint-Martin-d'Hères;37935
Saint-Martin-le-Vinoux;5880
Saint-Paul-de-Varces;2247
Saint-Pierre-de-Mésage;781
Le Sappey-en-Chartreuse;1133
Sarcenas;214
Sassenage;11062
Séchilienne;1063
Seyssinet-Pariset;11891
Seyssins;7827
La Tronche;6602
Varces-Allières-et-Risset;8301
Vaulnaveys-le-Bas;1321
Vaulnaveys-le-Haut;3965
Venon;732
Veurey-Voroize;1433
Vif;8547
Vizille;7246
