Achenheim;2338
Bischheim;17353
Blaesheim;1301
Breuschwickersheim;1313
Eckbolsheim;7049
Eckwersheim;1344
Entzheim;2453
Eschau;5424
Fegersheim;5734
Geispolsheim;7561
Hangenbieten;1647
Hœnheim;11304
Holtzheim;3703
Illkirch-Graffenstaden;26698
Kolbsheim;973
Lampertheim;3405
Lingolsheim;19439
Lipsheim;2664
Mittelhausbergen;2086
Mundolsheim;4749
Niederhausbergen;1663
Oberhausbergen;5363
Oberschaeffolsheim;2279
Osthoffen;816
Ostwald;12723
Plobsheim;4465
Reichstett;4397
Schiltigheim;33780
Souffelweyersheim;7994
Strasbourg;287228
Vendenheim;5971
La Wantzenau;5881
Wolfisheim;4174
